Fruits,vegetables,Food
apple,beet greens,potato
apricot,broccoli,mushroom
banana,carrots,sweet potato
dates,collards,whole grain rice
grapes,green beans,whole grain pasta
magoe,green peas,tortilla
orange,kale,beans
peaches ,lima beans,oats
pineapples,spinach ,barley
squash,tomatoe,coffee
strawberries,beetroot,mackrel
tangerines,lettuce,tuna
pumpkin,cabbage,salmon
raisinsprunes,arugula,skinless turkey
kiwi,olives,lean meat
watermelon,garlic,skinless chicken
pomegranates,,pumpkin seeds
blueberries,,cashew nut
raspberries,,almond
cranberries,,sunflower seeds
prickly pear,,pistachios
avacado ,,walnuts
papaya,,green tea
