Fruits,vegetables,Food
apple,carrots,whole grain
avocados,peas,oatmeal
bananas,broccoli ,quinoa
berries,tomatoes,millet
cherries,asparagus ,bulgur
grape,cauliflower,buckwheat
grapefruit,green beans,whole grain pasta
kiwi fruit,lettuce,whole grain bread
orange ,eggplant ,rye
peaches,peppers,whole grain rice
pears,snow peach,fatty fish
plums,celery,salmon 
strawberries,spinach,mackerel
figs,arugula,sardines
pawpaw,beetroot,trout
pineapples,bitterleaf,tuna
dates,rhubarb,herring
watermellon,okro,beans
,brussels sprouts,kidney beans
,almonds,pinto beans
,soy milk,black beans
,pumpkin seed,navy beans
,tofu,adzuki beans
,kale,nuts
,collard greens,almonds
,bok choy,brazil nuts
,,cashew
,,hazelnuts
,,pecans
,,pistachios
,,macadamia
,,other foods
,,greek yogurt
,,eggs
,,lean chciken
,,chickpeas
