Fruits,vegetables,Food
apple,carrots,lean meat
avocados,peas,potato
bananas,broccoli ,egg
berries,tomatoes,whole grain cereal
cherries,asparagus ,whole grain rice
grape,cauliflower,whole grain bread
grapefruit,green beans,whole grain pasta
kiwi fruit,lettuce,oatmeal
orange ,eggplant ,couscous
peaches,peppers,quinoa
pears,snow peach,barley
plums,celery,tofu
strawberries,spinach,lean mackerel
figs,arugula,lean salmon
pawpaw,beetroot,lean tuna
pineapples,bitterleaf,lean chicken
dates,rhubarb,skimmed milk
watermellon,okro,
,brussels sprouts,
,almonds,
,soy milk,
,pumpkin seed,
,tofu,
,kale,
,collard greens,
,bok choy,
