Customer Complaint	Description
Pricing and Billing	"XXXXX in the Atlanta area has just put into effect an unprecendented usage cap of 300GB. If you exceed this cap, you are charged an extra $10 per 50GB. If you stream from online services in standard HD, you can hit this cap extremely easily. XXXXX has never capped usage before this year and before the new net neutrality rules went into effect. I feel their practices are unfair as there is no competition in the Atlanta market. They can treat their customers however they choose and it's not right."
Pricing and Billing	"To whom it may concern: I am a XXXXX customer in the metro Atlanta area. This area is a test area for overage charges for using too much data with XXXXX. This past month I was informed that I had reached this arbitrary limit on my data usage of 300 GB per month. They told me I could use more data, but it would cost $10.00 per 50 GB of data. I believe that this is unjust as we are using our internet connection for streaming TV shows and movies because we do not subscribe to cable. XXXXX is in essence punishing us for not having a pay TV subscription with them. There was no limit before and now they are trying to slowly impose one and we are sadly the first pawns in the chess set to be taken down by XXXXX's arbitrary data limits and per GB fees. "
Pricing and Billing	"All of a sudden our ""bundle discount"" dropped $40, making our bill $40 more. We never were notified about a change and we do not have any type of promotion that would have run out. We have been trying to call XXXXX for days to understand our bill, and their phone line always says they are busy and to call again. There is no email or any other way to contact them to ask about our bill."
Internet Availability and Speed	"XXXXX recently upgraded my internet speed from 50mbps to 105 mbps. Although they ""upgraded"" My internet speeds rarely have ever been as fast as they claim. Currently I can't get faster than mbps. It seems like a big lie. "
Internet Availability and Speed	"Every night between 6-8 pm mountain time, the internet stops working all together. Sometimes it comes back, sometimes it doesn't. When I call XXXXX they usually say there is an outage in my area and they are working on it, but the internet is never fixed when they say it will be. Also, this is a problem that reoccurs every day which interferes with my ability to do work and watch TV. I should not be calling my cable company more than my wife."
Internet Availability and Speed	"I suspect my local ISP XXXXX, of throttling my internet connection speeds. My connections are very spotty and sometimes none existent. I do NOT get consistent service."
Internet Availability and Speed	"Hi there, I would like to submit a formal complaint about my internet service through XXXXX Cable. During the day, typically during noon or mid-day my internet connection will slow down or completely drop all together. The connection drop will last anywhere from 5 to 10 minutes and happen repeatedly throughout the day. I would like this to be taken care of and fixed ASAP as this has gone on for a while and we have good Internet equipment. "
Internet Availability and Speed	"XXXXX has had my internet out and they have hung up on me about 10 times today. They have horrible customer service, why on earth do they not have more competition?"
Internet Availability and Speed	"XXXXX is currently charging me for a service called the Blast PLUS plan, where I am to receive a download rate of 100 MB per second. Not once since receiving the service has my internet gotten anywhere near that. The most I can get is 70 MB per second, unfortunately this happens only once or twice per month or is an unusual spike in that last for a minute. The reality and average speed is about 50 MB per second, which is at least half of what I am being billed for. This also does not take into account the biweekly issues we have of signal drops, which when called to fix they state that its a signal node issue and that no one else has complained about or that the weather has affected my signal (currently I reside in the Washington DC metro area)."
Internet Availability and Speed	"The speed has drastically decreased to the point that I cannot load youtube videos and it started acting up after the day when FCC fined AT&T 100 million dollars. After reading the news, I was very happy for the FCC taking actions against unfair behavior but FCC still has a long way to go as my internet is still being throttled by XXXXX. Please do something about their monopoly over the internet speed, I cannot bear this anymore."
Pricing and Billing	The limiting of data usage on my internet service and then charging outrageous fees for additional data. This should be illegal! This is extortion in my view!
