name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
ishq kaminaa,djjiten,0.782,5,0,1.30E-05,1.907673071,0.972,-7.542,0.148,0.0255,0.608960285,0.369,0.557,0,0
bhool ja,shaan,0.696,0,0,0.000185,1.389656258,0.888,-2.285,0.0336,0.0592,0.549908406,0.131,0.676,0.180904523,0
tanha dil,shaan,0.621,7,0,0,1.761856865,0.704,-5.293,0.0236,0.101,0.454296273,0.185,0.366,0.221105528,0
sexy mama,bombayrockers,0.83,9,0,1.45E-06,1.402919962,0.77,-4.135,0.112,0.483,0.454514462,0.127,0.927,0.135678392,0
ari ari part 1,bombayrockers,0.758,7,1,0.000154,0.458445357,0.918,-2.487,0.108,0.00085,0.445791457,0.0619,0.721,0.165829146,0
rock tha party,bombayrockers,0.831,8,1,0,1.379623988,0.728,-4.625,0.0459,0.0865,0.499911361,0.113,0.896,0.226130653,0
dooba dooba rehta hoon,djtaral,0.808,0,1,2.50E-05,1.704463738,0.818,-6.991,0.0938,0.0283,0.477369735,0.288,0.625,0.035175879,0
ada remix,djsuketu,0.73,0,0,0.00479,1.445167754,0.857,-8.441,0.0606,0.0169,0.52281209,0.175,0.935,0,0
kya koob lagti ho,djsuketu,0.661,9,0,0.0547,2.042338464,0.936,-4.852,0.0479,0.00228,0.591068807,0.0996,0.241,0.120603015,0
baras ja,djsuketu,0.682,1,1,0.725,1.814580807,0.838,-7.277,0.0721,0.000655,0.590832436,0.0583,0.808,0.045226131,0
aadat,djsuketu,0.703,0,0,0.0893,1.561773029,0.934,-5.684,0.0332,0.0447,0.545635543,0.0584,0.82,0.125628141,0
who lamhe,djsuketu,0.62,8,0,0.413,1.738655222,0.899,-6.57,0.0376,0.00848,0.545458265,0.217,0.881,0.16080402,0
bin tere sanam,djsuketu,0.727,2,1,0.00874,1.451554469,0.966,-5.228,0.0368,0.225,0.586318656,0.165,0.902,0.175879397,0
liya liya chura liya part2 yaadon ki baraat  recreated,anoushamanchandani,0.687,7,1,0.152,1.982052049,0.735,-4.922,0.0309,0.00112,0.581809421,0.0532,0.42,0,0
dum maro dum hare rama hare krishna  recreated,anushamani,0.695,2,0,0.00177,1.923769305,0.804,-5.692,0.0446,0.0527,0.568072621,0.0652,0.695,0,0
liya liya  chura liya part1 yaadon ki baraat  recreated,anoushamanchandani,0.672,7,1,0.0813,1.399615981,0.808,-4.658,0.0323,0.00636,0.5817276,0.334,0.533,0,0
o sanam,luckyali,0.761,7,1,0.124,1.445167754,0.475,-13.03,0.0455,0.381,0.445627815,0.101,0.464,0,0
ultimate bollywood workout  vol 1,shankarmahadevan,0.696,9,1,0.000412,1.896066085,0.869,-3.766,0.0648,0.159,0.422854364,0.0563,0.777,0,0
ultimate bollywood workout  vol 1,sonunigam,0.854,9,0,1.49E-06,2.027496066,0.746,-8.656,0.115,0.0623,0.490838345,0.0273,0.862,0,0
ultimate bollywood workout  vol 1,rehankhan,0.758,6,0,0.00516,1.992999831,0.905,-5.466,0.0503,0.0831,0.472792316,0.0994,0.795,0,0
ultimate bollywood workout  vol 1,neerajshridhar,0.829,0,1,0.00853,1.749013429,0.942,-4.959,0.0396,0.0914,0.476501525,0.295,0.927,0,0
ultimate bollywood workout  vol 1,mikasingh,0.734,2,1,0.0597,1.561773029,0.879,-5.093,0.133,0.0608,0.477242458,0.0967,0.44,0,0
ultimate bollywood workout  vol 1,sunidhichauhan,0.755,11,0,3.43E-06,1.782170461,0.939,-4.969,0.127,0.129,0.418222398,0.416,0.783,0,0
ultimate bollywood workout  vol 1,sunidhichauhan,0.778,11,0,0.00474,1.903041357,0.951,-4.027,0.0573,0.0713,0.497365825,0.316,0.61,0,0
ultimate bollywood workout  vol 1,shankarmahadevan,0.652,6,0,0.00168,1.479936564,0.97,-3.944,0.0461,0.00775,0.568095349,0.204,0.883,0,0
ultimate bollywood workout  vol 1,vishaldadlani,0.762,0,1,9.30E-05,1.720346092,0.817,-5.804,0.158,0.022,0.41824058,0.0789,0.849,0,0
ultimate bollywood workout  vol 1,rajahasan,0.79,1,1,0.403,1.590910094,0.827,-5.706,0.03,0.0853,0.522657539,0.291,0.588,0,0
break ke baad,vishalshekhar,0.643,4,1,1.43E-06,1.573500379,0.86,-5.291,0.062,0.0292,0.568468088,0.426,0.558,0,0
break ke baad,vishalshekhar,0.797,0,1,2.46E-06,1.6391019,0.544,-7.139,0.0311,0.0902,0.49091562,0.117,0.63,0,0
anjaana anjaani,vishalshekhar,0.698,0,1,0.447,1.6391019,0.517,-6.168,0.0351,0.096,0.4182724,0.146,0.779,0,0
anjaana anjaani,vishalshekhar,0.683,2,1,0.248,1.743843683,0.973,-5.24,0.0449,0.0064,0.627224503,0.0268,0.956,0,0
anjaana anjaani,vishalshekhar,0.622,9,0,0.000261,1.573500379,0.781,-5.393,0.0615,0.0117,0.472692313,0.0873,0.431,0,0
chammak challo international version,vishalshekhar,0.752,8,1,5.29E-06,1.461079747,0.887,-4.01,0.0328,0.0691,0.6088421,0.119,0.937,0,0
aa bhi ja sanam,atifaslam,0.248,9,0,2.52E-05,1.238320533,0.692,-5.201,0.0476,0.214,0.393671617,0.174,0.251,0,0
o mere khuda,atifaslam,0.679,4,0,1.52E-06,1.307266527,0.913,-5.284,0.0564,0.0306,0.568108985,0.65,0.692,0,0
bakhuda tumhi ho,atifaslam,0.317,2,1,0,1.769508141,0.69,-5.029,0.0386,0.673,0.576850173,0.138,0.507,0,0
tera hone laga hoon,atifaslam,0.682,8,1,0,1.799712654,0.769,-5.275,0.0306,0.511,0.545290077,0.111,0.526,0,0
woh lamhe woh baatein 2005,atifaslam,0.464,8,0,0.000449,1.879659381,0.822,-4.827,0.0662,0.135,0.408017528,0.0898,0.407,0,0
doorie,atifaslam,0.49,9,1,0,1.769508141,0.957,-2.999,0.158,0.189,0.545735546,0.217,0.317,0,0
barso re,arrahman,0.879,0,1,0.000284,1.916892631,0.487,-9.441,0.148,0.337,0.531794194,0.0706,0.338,0.110552764,0
satrangi re  dil se,sonunigam,0.661,3,0,0.00187,1.812113392,0.748,-12.653,0.244,0.162,0.854904474,0.0789,0.753,0,0
saathiya,sonunigam,0.579,1,0,0,2.018947308,0.515,-12.323,0.0525,0.21,0.399771811,0.303,0.502,0,0
dil se re from the film dil se,arrahman,0.84,9,1,1.77E-05,2.181221656,0.473,-15.038,0.0733,0.00955,0.481769875,0.0897,0.427,0,0
mujhe rang de,arrahman,0.701,9,0,0.000421,2.254379216,0.48,-16.403,0.073,0.309,0.554622193,0.0986,0.65,0,0
alvida,pritam,0.287,2,1,7.51E-06,1.950957201,0.655,-5.566,0.0372,0.594,0.381898515,0.11,0.239,0.226130653,0
rishtey,pritam,0.542,0,0,1.67E-06,2.29056619,0.564,-6.633,0.0275,0.222,0.618187851,0.114,0.176,0.155778894,0
in dino,pritam,0.406,0,1,0,2.15602353,0.633,-6.989,0.0379,0.513,0.461087398,0.116,0.344,0.256281407,0
hello darling,pritam,0.712,10,0,0.000203,1.271415584,0.804,-5.792,0.0373,0.0687,0.636797535,0.179,0.841,0,0
kya,pritam,0.705,5,0,0,1.473679334,0.694,-6.55,0.0719,0.252,0.436354793,0.332,0.802,0.190954774,0
mere bina,pritam,0.495,2,1,0,1.756733275,0.768,-5.7,0.0545,0.653,0.363234285,0.152,0.489,0.286432161,0
character dheela ishq ke naam,pritam,0.789,1,0,2.16E-05,1.461079747,0.884,-2.456,0.0831,0.108,0.50889801,0.324,0.842,0,0
you get me rocking  reeling feat neeraj shridhar and billu barbar,pritam,0.519,4,0,0,1.738655222,0.798,-6.268,0.0626,0.00604,0.781797603,0.099,0.587,0,0
khodaya khair feat monali and akriti kakkar,pritam,0.43,7,1,0,1.720346092,0.815,-6.348,0.0954,0.0586,0.782861273,0.26,0.781,0,0
marjaani marjaani kasame feat sunidhi chauhan and sukhwinder singh,pritam,0.551,11,0,0.29,2.19271046,0.954,-4.768,0.168,0.00171,0.497570377,0.217,0.544,0,0
pee loon hoto ki sargam feat mohit chauhan once upon a time in mumbaai,pritam,0.492,1,1,0,1.741251801,0.769,-6.13,0.0429,0.0385,0.38118031,0.156,0.789,0,0
twist,pritam,0.598,4,0,0.000283,1.907673071,0.966,-4.585,0.338,0.00826,0.495693045,0.589,0.632,0,0
te amo,pritam,0.598,11,1,0,1.741251801,0.769,-5.122,0.0474,0.619,0.581368498,0.113,0.579,0,0
jiyein kaun,pritam,0.383,4,1,1.71E-06,1.652969116,0.608,-5.789,0.0404,0.0544,0.64966158,0.0938,0.33,0,0
mit jaaye ghum dum maro dum,pritam,0.742,0,1,0.000509,1.495457684,0.926,-3.66,0.0886,0.127,0.590850618,0.0392,0.688,0,0
aahun aahun from love aaj kal,mastersaleem,0.536,1,0,4.50E-05,1.759297356,0.903,-5.501,0.307,0.154,0.590768797,0.064,0.656,0.211055276,0
jiya jale,latamangeshkarmgshreekumar,0.775,9,1,8.97E-05,1.831735753,0.506,-12.64,0.119,0.33,0.64544781,0.107,0.54,0,0
chaiyya chaiyya,sukhwindersinghsapanaawasthi,0.788,2,1,0,2.211665633,0.675,-13.249,0.166,0.244,0.409108472,0.0731,0.558,0,0
aksar,shaan,0.587,9,1,2.36E-05,1.58223215,0.425,-10.52,0.0289,0.594,0.545726455,0.107,0.507,0,0
chaand taare from yes boss,abhijeet,0.582,7,1,0,1.764411821,0.45,-14.308,0.0656,0.142,0.834108358,0.0847,0.669,0,0
haye ram,abhijeet,0.735,8,1,0.00189,2.012503106,0.406,-12.742,0.0463,0.545,0.456337247,0.111,0.403,0,0
tere khayal ki,jagjitsingh,0.522,9,0,0,2.163821979,0.458,-11.076,0.0358,0.564,0.818548772,0.0612,0.51,0,0
mann ki lagan,rahatfatehalikhan,0.652,9,1,0.00273,1.764411821,0.554,-11.141,0.0391,0.418,0.671898651,0.302,0.766,0,0
bheegey hont,kunalganjawala,0.743,2,1,2.47E-05,1.688402626,0.447,-10.766,0.0352,0.342,0.567981709,0.161,0.502,0,0
jiya dhadak dhadak jaye,rahatfatehalikhan,0.7,0,1,5.68E-05,1.874937576,0.45,-12.858,0.0359,0.179,0.544990068,0.0942,0.405,0,0
maula mere maula,roopkumarrathod,0.528,0,1,0.0211,2.038112952,0.576,-13.216,0.0409,0.426,0.544835518,0.0758,0.423,0,0
dhoom pichuk feat shubha mudgal,palashsenband,0.446,1,1,0,1.76696224,0.827,-6.625,0.395,0.182,0.440736751,0.488,0.837,0,0
but it rained,parikrama,0.407,4,1,0.000589,2.252546989,0.424,-12.895,0.0405,0.243,0.603964672,0.356,0.397,0,0
sajni,jaltheband,0.68,8,0,0.00821,1.834169934,0.752,-5.835,0.0375,0.66,0.486106376,0.11,0.792,0,0
woh chali woh chali,bombayvikings,0.788,0,0,1.33E-05,1.658478264,0.688,-6.834,0.0308,0.0415,0.431559186,0.355,0.967,0,0
khamaj,fuzon,0.645,6,1,1.79E-05,2.215428212,0.402,-14.454,0.0299,0.499,0.363902488,0.362,0.438,0.201005025,0
teray bina,fuzon,0.638,7,1,0.000195,2.12441704,0.539,-12.929,0.0288,0.183,0.482238071,0.0851,0.64,0.110552764,0
akhian,fuzon,0.699,2,1,0,1.525991198,0.71,-11.568,0.0379,0.158,0.495724864,0.344,0.446,0.100502513,0
ankhon ke saagar guitar mix,fuzon,0.567,1,0,4.37E-05,1.971022169,0.711,-12.547,0.0408,0.0915,0.463851123,0.106,0.492,0.055276382,0
main aisa kyon hoon,shankarehsaanloy,0.809,0,1,0,1.688402626,0.509,-4.856,0.0391,0.031,0.436345702,0.175,0.921,0.185929648,0
roop tera mastana,ballysagoo,0.712,1,1,6.90E-05,2.025363509,0.667,-13.418,0.0374,0.0777,0.463255649,0.115,0.852,0.110552764,0
jeena,sandeepchowta,0.606,0,0,4.73E-06,1.749013429,0.907,-5.163,0.147,0.18,0.454619011,0.0498,0.75,0,0
ruki ruki from mast,sonunigam,0.726,11,0,0.00104,1.769508141,0.739,-11.992,0.0545,0.0387,0.545594633,0.299,0.818,0,0
subah subah,zubeengarg,0.775,6,1,4.59E-05,1.977650023,0.579,-9.46,0.0298,0.142,0.581845786,0.0808,0.777,0.120603015,0
tauba tauba,salimsulaiman,0.696,6,0,8.19E-05,1.821957867,0.876,-7.94,0.144,0.237,0.454369003,0.126,0.724,0.206030151,0
kaal dhamaal,salimsulaiman,0.642,4,0,0.000278,1.720346092,0.925,-7.154,0.173,0.154,0.45435082,0.0497,0.591,0.170854271,0
the mutton song,ramsampath,0.726,11,1,2.46E-05,1.630715959,0.767,-8.298,0.107,0.0944,0.772965503,0.175,0.695,0,0
saadda haq featuring orianthi panagaris on guitars,arrahman,0.561,6,0,5.03E-06,2.048654205,0.882,-4.99,0.0501,0.0843,0.440759479,0.329,0.62,0,0
sooraj ki baahon mein,shankarehsaanloy,0.855,11,1,4.21E-06,1.338746019,0.563,-6.289,0.0342,0.22,0.567795339,0.0979,0.905,0,0
