ID,join_date,sex,marital_status,birth_year,branch_code,occupation_code,occupation_category_code,P5DA,RIBP,8NN1,7POT,66FJ,GYSR,SOP4,RVSZ,PYUQ,LJR9,N2MW,AHXO,BSTQ,FM3X,K6QO,QBOL,JWFN,JZ9D,J9JW,GHYX,ECY3
4WKQSBB,1/2/2019,F,M,1987,1X1H,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CP5S02H,1/6/2019,F,M,1981,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2YKDILJ,1/6/2013,M,U,1991,748L,QZYX,90QI,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2S9E81J,1/8/2019,M,M,1990,1X1H,BP09,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
BHDYVFT,1/8/2019,M,M,1990,748L,NO3L,T4MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2ZFEPSR,1/9/2010,F,U,1981,748L,0OJM,T4MS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IJTBZFM,1/9/2019,M,M,1984,748L,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6ZOZFNF,1/5/2017,F,M,1977,E5SW,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
G4P89ZS,1/5/2018,M,M,1990,XX25,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
G05BOWG,1/11/2018,M,M,1995,XX25,RUFT,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PVWNVLG,1/10/2015,M,M,1985,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2RUZE97,1/1/2019,M,M,1994,748L,B3QW,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0JI1SOP,1/5/2018,M,M,1987,1X1H,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
R28U7H0,1/2/2017,M,M,1958,ZFER,P4MD,90QI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R14Y248,1/8/2018,F,M,1986,XX25,BPSA,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
D713A6Y,1/7/2017,M,M,1959,748L,B8W8,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
4IOXDPT,1/6/2020,M,U,1977,748L,OPVX,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
WNUIY36,1/5/2018,M,M,1994,748L,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PSG1T6G,1/3/2016,M,M,1984,ZFER,2A7I,T4MS,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3K53G0X,1/6/2017,M,U,1966,748L,0OJM,T4MS,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
L0TPNYU,1/11/2019,M,M,1965,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ILJVPJC,1/6/2018,M,M,1967,30H5,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
QGBG7A3,1/5/2019,M,M,1984,E5SW,PKW3,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5NTVB21,1/5/2019,M,M,1968,30H5,0B60,JD7X,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
CHZCM9F,1/10/2018,M,M,1963,748L,5FPK,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
60377AO,1/5/2019,M,S,1974,1X1H,SST3,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ID8PVE0,1/11/2017,F,M,1983,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TM9QM3F,1/3/2020,M,M,1987,9F9T,BP09,56SI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1OBRGMX,1/1/2020,F,M,1966,30H5,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7S1IQLX,1/11/2016,M,M,1989,XX25,RUFT,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
VJNGFKM,1/6/2017,M,M,1965,UAOD,P4MD,90QI,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
TV4LB8Y,1/10/2019,M,M,1990,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ZS9WSBV,1/1/2020,F,M,1977,O67J,0KID,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
L71EB78,1/4/2018,M,M,1976,30H5,N2ZZ,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
BX7W1FU,1/3/2020,M,M,1979,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
WDES45S,1/6/2017,M,M,1957,E5SW,6E4H,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
K2BFAR7,1/4/2019,M,M,1993,XX25,F57O,90QI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
TDE18FI,1/4/2020,M,M,1973,748L,2A7I,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5YHNPQO,1/6/2018,M,S,1996,30H5,UJ5T,T4MS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
